text,likes,platform,num_palabras
Do you have any embroidery scarves,1.0,Instagram,6
ווואוו יפה,1.0,Instagram,2
@robertkhasho,0.0,Instagram,1
ريتووو ما يبلى الحلووو😍❣️❣️,1.0,Instagram,4
ولن أجد أجدع منكم .. يسعد ربكم محلاكم 🤍💚,2.0,Instagram,9
اغتالوا الكثير من الاصوات الاعلامية المؤثرة لكن سينبت من كل حجرة صوت يزلزل اركانهم,4.0,Instagram,14
Sequisse!! Kkkkkkkk,1.0,Instagram,2
Was gezellig naast jullie in het vliegtuig!,1.0,Instagram,7
Buena foto bro,1.0,Instagram,3
Woow te quedó brutal bro 🔥🔥😮,1.0,Instagram,6
Hot mama 😍😍,1.0,Instagram,3
💚🙏,1.0,Instagram,1
Mo bhaii❤️,2.0,Instagram,2
❤️🔥👏👏 الله يحميك عالصوت الحلو يا رب امين,1.0,Instagram,8
❤️❤️❤️top 🔥🔥,1.0,Instagram,2
🔥🔥🔥,1.0,Instagram,1
🔥🔥,1.0,Instagram,1
😍好有氣氛！好正啊！🔥😍,1.0,Instagram,1
Beautiful!,1.0,Instagram,1
😍😍,1.0,Instagram,1
Thanks for dancing 🫶,1.0,Instagram,4
الله 😍😍😍😍,1.0,Instagram,2
كم السعر,1.0,Instagram,2
كم أغلبك,1.0,Instagram,2
😂😂😂😂,1.0,Instagram,1
😂😂😂😂😂,1.0,Instagram,1
Thanks for taking me along for my 2nd time (with your pics),1.0,Instagram,12
big guy🙌🏼,1.0,Instagram,2
marry me,1.0,Instagram,2
My heart ❤️,1.0,Instagram,3
Wow what an awesome experience. Thank you so much sharing this with us all ❤️❤️❤️❤️❤️,1.0,Instagram,15
Looking good 🔥❤️❤️,1.0,Instagram,3
@samahalqaqa  انتي زنبقتي 🌷 الاجمل ❤️,1.0,Instagram,6
Guapa 😍,1.0,Instagram,2
😍👏👏,1.0,Instagram,1
Bellas 😍😍,1.0,Instagram,2
Una experiencia única e increíble. Estás preciosa. Disfruta al máximo bella😍,1.0,Instagram,11
ابدعتي 👏👏👏👏,1.0,Instagram,2
Unique ❤️,1.0,Instagram,2
Beautiful 😍😍,1.0,Instagram,2
🔥❤️😍,1.0,Instagram,1
👏👏,1.0,Instagram,1
😍ما شاء الله,1.0,Instagram,3
This is incredible work Haneen❤️❤️,1.0,Instagram,5
Ansiosa pela minha vez ❤️,3.0,Instagram,5
Incredible clarity 😎,1.0,Instagram,3
why never take the wso place,1.0,Instagram,6
Wow. So so clear when put that way ❤️,1.0,Instagram,9
🔥🔥🔥❤️❤️❤️,1.0,Instagram,1
